NO	Time	MMode	MValue	MUnit	SMode	SValue	SUnit	Freq
1	2016-01-09 18:45:49	Rs	,4990	KOhm	?	0,0	Deg	1KHz
2	2016-01-09 18:45:49	Rs	,4990	KOhm	?	0,0	Deg	1KHz
3	2016-01-09 18:45:50	Rs	,4990	KOhm	?	0,0	Deg	1KHz
4	2016-01-09 18:45:50	Rs	,4990	KOhm	?	0,0	Deg	1KHz
5	2016-01-09 18:45:51	Rs	,4990	KOhm	?	0,0	Deg	1KHz
6	2016-01-09 18:45:51	Rs	,4990	KOhm	?	0,0	Deg	1KHz
7	2016-01-09 18:45:52	Rs	,4990	KOhm	?	0,0	Deg	1KHz
8	2016-01-09 18:45:52	Rs	,4990	KOhm	?	0,0	Deg	1KHz
9	2016-01-09 18:45:53	Rs	,4990	KOhm	?	0,0	Deg	1KHz
10	2016-01-09 18:45:53	Rs	,4990	KOhm	?	0,0	Deg	1KHz
11	2016-01-09 18:45:54	Rs	,4990	KOhm	?	0,0	Deg	1KHz
12	2016-01-09 18:45:54	Rs	,4990	KOhm	?	0,0	Deg	1KHz
13	2016-01-09 18:45:55	Rs	,4990	KOhm	?	0,0	Deg	1KHz
14	2016-01-09 18:45:55	Rs	,4990	KOhm	?	0,0	Deg	1KHz
15	2016-01-09 18:45:56	Rs	,4990	KOhm	?	0,0	Deg	1KHz
16	2016-01-09 18:45:56	Rs	,4990	KOhm	?	0,0	Deg	1KHz
17	2016-01-09 18:45:57	Rs	,4990	KOhm	?	0,0	Deg	1KHz
18	2016-01-09 18:45:57	Rs	,4990	KOhm	?	0,0	Deg	1KHz
19	2016-01-09 18:45:58	Rs	,4990	KOhm	?	0,0	Deg	1KHz
20	2016-01-09 18:45:58	Rs	,4990	KOhm	?	0,0	Deg	1KHz
21	2016-01-09 18:45:59	Rs	,4990	KOhm	?	0,0	Deg	1KHz
22	2016-01-09 18:45:59	Rs	,4990	KOhm	?	0,0	Deg	1KHz
23	2016-01-09 18:46:00	Rs	,4990	KOhm	?	0,0	Deg	1KHz
24	2016-01-09 18:46:00	Rs	,4990	KOhm	?	0,0	Deg	1KHz
25	2016-01-09 18:46:01	Rs	,4990	KOhm	?	0,0	Deg	1KHz
26	2016-01-09 18:46:01	Rs	,4990	KOhm	?	0,0	Deg	1KHz
27	2016-01-09 18:46:02	Rs	,4990	KOhm	?	0,0	Deg	1KHz
